#{"t_start": 1754090419.815753, "env_id": "None"}
r,l,t
0.0,25,51.80019
0.0,25,51.80019
0.0,25,51.80019
0.0,25,51.874205
0.0,25,51.874205
0.0,25,51.874205
0.0,25,51.874205
0.0,25,51.946521
0.0,25,51.946521
0.0,25,51.946521
0.0,25,51.946521
0.0,25,52.018482
0.0,25,52.018482
0.0,25,52.018482
-50.539684,25,52.018482
0.0,25,52.111238
0.0,25,52.111238
0.0,25,52.111238
-26.241713,25,52.111238
0.0,25,52.172876
0.0,25,52.172876
0.0,25,52.172876
-2.768734,25,52.172876
0.0,25,52.238284
0.0,25,52.238284
0.0,25,52.238284
-10.366759,25,52.238284
0.0,25,52.312105
0.0,25,52.312105
0.0,25,52.312105
-16.892801,25,52.312105
0.0,25,52.403188
0.0,25,52.403188
0.0,25,52.403188
0.0,25,52.403188
0.0,25,52.468536
0.0,25,52.468536
0.0,25,52.468536
-0.9418965,25,52.468536
0.0,25,52.560215
0.0,25,52.560215
0.0,25,52.560215
-0.20558526,25,52.560215
0.0,25,52.629896
0.0,25,52.629896
0.0,25,52.629896
-0.68676335,25,52.629896
0.0,25,52.710156
0.0,25,52.710156
0.0,25,52.710156
0.0,25,52.710156
30.0,25,52.783706
30.0,25,52.783706
30.0,25,52.783706
-33.48703,25,52.783706
0.0,25,52.862023
0.0,25,52.862023
0.0,25,52.862023
0.0,25,52.862023
0.0,25,52.928294
0.0,25,52.928294
0.0,25,52.928294
0.0,25,52.928294
0.0,25,52.991683
0.0,25,52.991683
0.0,25,52.991683
-0.5763914,25,52.991683
0.0,25,53.070408
0.0,25,53.070408
0.0,25,53.070408
-6.8103666,25,53.070408
0.0,25,53.148063
0.0,25,53.148063
0.0,25,53.148063
-1.2147261,25,53.148063
0.0,25,53.253327
0.0,25,53.253327
0.0,25,53.253327
-3.6013904,25,53.253327
20.0,25,53.3485
20.0,25,53.3485
20.0,25,53.3485
-26.855652,25,53.3485
0.0,25,53.422517
0.0,25,53.422517
0.0,25,53.422517
0.0,25,53.422517
10.0,25,53.528423
10.0,25,53.528423
10.0,25,53.528423
-10.0,25,53.528423
0.0,25,53.638139
0.0,25,53.638139
0.0,25,53.638139
0.0,25,53.638139
40.0,25,53.727367
40.0,25,53.728377
40.0,25,53.728377
-41.22821,25,53.728377
50.0,25,53.828549
50.0,25,53.828549
50.0,25,53.828549
-50.0,25,53.828549
0.0,25,53.899466
0.0,25,53.899466
0.0,25,53.899466
0.0,25,53.899466
50.0,25,54.037456
50.0,25,54.037456
50.0,25,54.037456
-50.15074,25,54.037456
0.0,25,54.200352
0.0,25,54.200352
0.0,25,54.200352
-3.1258597,25,54.200352
20.0,25,54.302144
20.0,25,54.302144
20.0,25,54.302144
-40.7382,25,54.302144
10.0,25,54.402279
10.0,25,54.402279
10.0,25,54.402279
-65.93526,25,54.402279
0.0,25,54.52022
0.0,25,54.52022
0.0,25,54.52022
0.0,25,54.52022
0.0,25,54.629787
0.0,25,54.629787
0.0,25,54.629787
0.0,25,54.629787
0.0,25,54.743107
0.0,25,54.743107
0.0,25,54.743107
-12.707716,25,54.743107
0.0,25,54.863381
0.0,25,54.863381
0.0,25,54.863381
-28.483103,25,54.863381
0.0,25,55.008211
0.0,25,55.008211
0.0,25,55.008211
-0.6900892,25,55.008211
70.0,25,55.10518
70.0,25,55.10518
70.0,25,55.10518
-70.0,25,55.10518
20.0,25,55.220441
20.0,25,55.228348
20.0,25,55.228348
-20.0,25,55.228348
0.0,25,55.331004
0.0,25,55.331004
0.0,25,55.331004
0.0,25,55.331004
20.0,25,55.433187
20.0,25,55.43423
20.0,25,55.43423
-27.41412,25,55.43423
0.0,25,55.571703
0.0,25,55.571703
0.0,25,55.571703
0.0,25,55.571703
0.0,25,55.693064
0.0,25,55.693064
0.0,25,55.693064
0.0,25,55.693064
0.0,25,55.803176
0.0,25,55.803689
0.0,25,55.803689
0.0,25,55.803689
0.0,25,55.894984
0.0,25,55.894984
0.0,25,55.894984
-22.780329,25,55.894984
40.0,25,56.000136
40.0,25,56.000136
40.0,25,56.002144
-40.610683,25,56.002144
0.0,25,56.094537
0.0,25,56.094537
0.0,25,56.094537
-0.88047886,25,56.094537
0.0,25,56.187984
0.0,25,56.187984
0.0,25,56.187984
